projectID,project name,status,jul,jun,may,apr,mar,feb,jan
3,Wikinger,active,1906,1913,1913,1920,1923,1942,1964
4,Gwynt y Mor,active,231,222,222,227,231,235,239
5,Scira,archived,0,365,365,365,365,365,365
6,LID,archived,0,0,0,235,235,238,242
7,London Array,archived,0,0,0,0,0,0,0
8,Galloper,inactive,0,457,457,457,463,475,504
9,Greater Gabbard,active,670,598,598,638,683,696,710
10,Nordsee Ost,inactive,0,964,965,966,967,969,971
11,BOWL,active,501,450,450,454,461,465,467
12,Ormonde,archived,0,0,0,0,0,0,0
13,AOWF,archived,0,0,0,0,0,0,0
14,50Hz CWA2,active,2787,2549,2552,2583,2593,2597,2599
18,Rhyl Flats,inactive,0,83,83,83,84,84,101
19,Borsele 2,archived,0,0,0,2196,2196,2196,2196
20,Fryslan,inactive,0,1462,1462,1462,1463,1464,1464
21,Akita,active,40,25,25,25,25,28,28
23,St Brieuc,active,2372,1752,1760,1762,1765,1765
24,Seagreen,active,5239,4383,4384,4392,4750,4766,4782
25,Stowen,active,39,38,38,38,38,38,38
27,Moray East,active,425,367,367,378,380,385,393
28,Dogger Bank A,active,946,521,523,532,536,536,536
