Project name,ProjectID,status,jun,may,apr,mar,feb,jan
Wikinger,3,active,1913,1913,1920,1923,1942,1964
Gwynt y Mor,4,active,222,222,227,231,235,239
Scira,5,archived,365,365,365,365,365,365
LID,6,archived,0,0,235,235,238,242
London Array,7,archived,0,0,0,0,0,0
Galloper,8,inactive,457,457,457,463,475,504
Greater Gabbard,9,active,598,598,638,683,696,710
Nordsee Ost,10,inactive,964,965,966,967,969,971
BOWL,11,active,450,450,454,461,465,467
Ormonde,12,archived,0,0,0,0,0,0
AOWF,13,archived,0,0,0,0,0,0
50Hz CWA2,14,active,2549,2552,2583,2593,2597,2599
Rhyl Flats,18,inactive,83,83,83,84,84,101
Borsele 2,19,archived,0,0,2196,2196,2196,2196
Fryslan,20,inactive,1462,1462,1462,1463,1464,1464
Akita,21,active,25,25,25,25,28,28
St Brieuc,23,active,1751,1752,1760,1762,1765,1765
Seagreen,24,active,4383,4384,4392,4750,4766,4782
Stowen,25,active,38,38,38,38,38,38
Moray East,27,active,367,367,378,380,385,393
Dogger Bank A,28,active,521,523,532,536,536,536
